Name,Category,Description,Latitude,Longitude
Jotunheimvegen (Vinstre toll road),Nature & sights,"45 km summer-only gravel toll road from Skåbu to Bygdin, built in the 1950s to replace the milk boat that carried dairy across lakes Sandvatnet and Vinstri: the literal origin of the 'milk road' theme. Easy, well-graded gravel along the lake shores with Jotunheimen's peaks growing on the horizon; toll applies to cars (120 kr in 2024), free for cyclists, open from late June. The Roros route rides its eastern stretch along Vinstre to Bygdin. [Near: Haugseter]",61.38,9.15
Lake Vinstre and Haugseter Fjellstue,Nature & sights,"Jotunheimvegen runs along the northern shore of lake Vinstre (Vinstervatn, ~1030 m), a wide mountain lake dotted with old fishing hamlets and stølar. Haugseter Fjellstue mid-lake is the classic food-and-bed stop on this leg, 14 km before Bygdin; good swimming and trout fishing. [Near: Beitostolen]",61.3424,8.984
Bygdin quay and M/B Bitihorn,Nature & sights,"Where Jotunheimvegen meets Fv51 at the east end of lake Bygdin (1060 m), beneath Bitihorn, with the historic Bygdin Høifjellshotell on the shore. M/B Bitihorn, in service since 1912 and the highest scheduled boat service in Northern Europe, sails the 25 km lake via Torfinnsbu to Eidsbugarden deep into southern Jotunheimen; two departures daily from late June, a worthwhile rest-day cruise. [Detour: on route; optional boat cruise ~3.5 h return to Eidsbugarden (1 h 45 each way) | Near: Beitostolen]",61.3276,8.8011
Bitihorn summit hike,Nature & sights,"The 1607 m horn that dominates the Bygdin-Beitostølen skyline, with a moderately demanding walk-up (no scrambling, ~550 m gain, 4 km each way) and one of Valdres' best panoramas over lake Bygdin and the southern Jotunheimen 2000-ers. Trailhead parking is right on Fv51 about 10 km north of Beitostølen, so it slots straight into the riding day. [Detour: hike, 3-5 h return from Fv51 trailhead (on route) | Near: Beitostolen]",61.301,8.799
Synshorn Via Ferrata,Nature & sights,"Popular via ferrata climbing iron rungs up the near-vertical face of Synshorn between lakes Bygdin and Vinstre to the ~1460 m summit. Guided trips run June-September, 3-4 h with ~400 m of climbing, no prior climbing experience needed (minimum age applies); book via synshorn.no. [Detour: guided activity, 3-4 h; start near Bygdin on route | Near: Beitostolen]",61.3401,8.7972
"Rjupa rest area, Valdresflye",Nature & sights,"Architect-designed rest stop (Knut Hjeltnes) on the Norwegian Scenic Route Valdresflye just above Bygdin, with a panorama over the old mountain hamlets along lake Vinstre and back across Valdres. Wheelchair accessible; also a trailhead for walks onto the plateau. [Near: Beitostolen]",61.3431,8.8127
Flye 1389 (Valdresflye high point),Nature & sights,"The highest point of the Valdresflye scenic road at 1389 m (Norway's second-highest mountain pass), where Fv51 floats above the treeless plateau with views to Besshøe, Tjønnholstinden and Rasletinden. The modern Flye 1389 cafe at the top serves local food from Valdres and Gudbrandsdalen: a natural mid-climb reward on the ride to Gjendesheim. [Near: Gjendesheim]",61.3895,8.8106
Vargebakkane viewpoint,Nature & sights,"Pull-off on the northern slope of Valdresflye (~1100 m) as the road drops toward Gjendesheim, with a head-on view of the 2000 m peaks, Knutshøe, lake Nedre Leirungen and the Besseggen ridge. Doubles as the Knutshøe trailhead (Vargbakken parking, ~4 km south of the Gjendesheim exit). [Near: Gjendesheim]",61.4564,8.8055
Knutshøe ridge hike,Nature & sights,"The 'little sister of Besseggen': a 1517 m grassy-then-rocky ridge squeezed between lake Gjende and the Leirungen lakes, with some easy scrambling and big views over emerald Gjende. No boat or booking needed, far quieter than Besseggen; the ~13 km loop (690 m gain) starts at Vargbakken parking right on Fv51. Golden eagles nest here, so locals advise saving it for after 1 July (fine for mid-July). [Detour: hike, 4-6 h loop from Vargebakkane on Fv51 | Near: Gjendesheim]",61.48,8.7549
Gjendesheim - Jotunheimen NP eastern gateway,Nature & sights,"DNT's most visited staffed lodge north of the Alps (est. 1878, 156 beds), at ~1000 m on the east end of lake Gjende just off Fv51: the main eastern entry to Jotunheimen National Park, home to Norway's highest peaks and 60+ glaciers. Beds, hearty dinners and the Besseggen and Gjende boat trailheads make it the obvious overnight for a hiking day. [Detour: on route (end of the Fv51 Valdresflye leg) | Near: Gjendesheim]",61.4943,8.8126
Lake Gjende and the Gjende boats,Nature & sights,"An 18 km glacial lake famous for its vivid emerald-green colour from glacier-milled rock flour, often called Norway's most beautiful mountain lake. Passenger boats shuttle Gjendesheim-Memurubu-Gjendebu, with up to 7-8 departures daily to Memurubu in high season (the classic Besseggen approach); pre-book at gjende.no as July departures sell out. [Detour: on route at Gjendesheim; boat ~20-45 min each way | Near: Gjendesheim]",61.4869,8.756
Besseggen ridge,Nature & sights,"Norway's most famous day hike (up to ~60,000 walkers/year): take the morning boat to Memurubu and walk the 14 km ridge back to Gjendesheim, climbing the dramatic crest between green Gjende and blue Bessvatnet, the two lakes separated by 400 vertical metres. Immortalised by Ibsen's Peer Gynt, who rode a reindeer buck along the ridge; allow a full day and book the boat well ahead for mid-July. [Detour: hike, 6-8 h plus boat to Memurubu (book gjende.no) | Near: Gjendesheim]",61.5042,8.7319
Slettefjellet high point (1315 m),Nature & sights,"The highest point of the whole Mjølkevegen at 1315 m, reached by a stiff climb on Slettefjellvegen between Beitostølen and Vang (one of the route's most demanding sections); picnic spot at the top with a sweeping panorama back over the Jotunheimen massif before the steep descent toward Vang and Vangsmjøse. A Mjølkevegen rest shelter sits shortly before Mugnestølen partway along. [Near: Beitostolen]",61.2156,8.7468
